Name,Value.gain,Value.bw,Value.constraint_gain_constraint,Value.constraint_pm_constraint,Value.LM1,Value.LM2,Value.LM3,Value.WM1,Value.WM2,Value.WM3,Value.Rb,Value.Vb
37,-0.587058363636364,-0.1367411,-32.28821,-15.8274996189867,4.10474652126431E-07,8.90535663637687E-07,9.55735582742182E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
38,-0.580460181818182,-0.142814,-31.92531,-17.6401534728468,4.10474652126431E-07,8.90535663637687E-07,8.47466738876054E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
39,-0.386561818181818,-0.4443328,-21.2609,-36.1397606975986,2.09770414816309E-07,1.58821323318825E-07,2.78512237527546E-07,9.74705278155888E-05,8.3464555782482E-05,3.28737134777106E-05,105.066228461579,0.458280454531676
40,-0.686554363636364,-0.05873354,-37.76049,-21.9312022548473,5.70952013608792E-07,2.63446442308953E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,4.22073926610503E-06,3981.35236113993,0.656264841462184
41,-0.664760363636364,-0.07442294,-36.56182,-20.614257472296,5.14810414892528E-07,1.85907401178059E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2157.48173067053,0.700500761097799
42,-0.593282727272727,-0.13129708,-32.63055,-14.7087769366854,4.10788028988886E-07,1.09782793404552E-06,9.8921269284444E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
43,-0.660332727272727,-0.07788834,-36.3183,-21.04610581545,5.06644193584066E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2157.48173067053,0.678795970863178
44,-0.666914727272727,-0.07299414,-36.68031,-21.5951951613592,5.14810414892528E-07,2.75397983182572E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2715.31505579516,0.671533717862347
45,-0.600206,-0.12498102,-33.01133,-13.3951876021857,4.10788028988886E-07,1.24315597713996E-06,1.04651480811341E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
46,-0.594754,-0.12996974,-32.71147,-14.5167453434551,4.10788028988886E-07,1.15825445267076E-06,9.8921269284444E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
